province,country,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Ivanovo Oblast,Russia,56.9167446,41.43521370000001,32556.0,1039.0,31025.0,492.0,3208.606745603885,3.191424007863374
Iwate,Japan,39.593287,141.361777,621.0,30.0,550.0,41.0,50.61883770671397,4.830917874396135
Jalisco,Mexico,20.6595,-103.3494,82617.0,11354.0,0.0,71263.0,982.4020924426136,13.742934262924097
Jammu and Kashmir,India,33.75943,76.612638,130960.0,1994.0,126435.0,2531.0,962.4938998935788,1.5226023213194868
Jamtland Harjedalen,Sweden,63.1712,14.9592,8519.0,118.0,0.0,8401.0,6512.499044415565,1.385139100833431
Jewish Autonomous Okrug,Russia,48.57527615,132.66307460000002,4431.0,125.0,4230.0,76.0,2734.948831582456,2.8210336267208307
Jharkhand,India,23.654536,85.557631,124201.0,1113.0,120263.0,2825.0,321.8147052486053,0.8961280504987883
Jiangsu,China,32.9711,119.455,710.0,0.0,704.0,6.0,0.8377777244956389,0.0
Jiangxi,China,27.614,115.7221,937.0,1.0,934.0,2.0,2.073530213957558,0.1067235859124866
Jilin,China,43.6661,126.1923,573.0,3.0,570.0,0.0,2.38021525204548,0.5235602094240838
Johor,Malaysia,1.4854,103.7618,41258.0,104.0,39594.0,1560.0,1094.899421474444,0.2520723253672015
Jonkoping,Sweden,57.3708,14.3439,33356.0,535.0,0.0,32821.0,9173.842612328415,1.6039093416476795
Junin,Peru,-11.541783,-74.876968,50352.0,4386.0,0.0,45966.0,3698.273962541314,8.71067683508103
Kabardino-Balkarian Republic,Russia,43.4806048,43.5978976,22792.0,418.0,21680.0,694.0,2632.3935007876853,1.833976833976834
Kagawa,Japan,34.217292,133.969047,836.0,19.0,752.0,65.0,87.41596930821134,2.272727272727273
Kagoshima,Japan,31.009484000000004,130.430665,1830.0,28.0,1771.0,31.0,114.21274651697932,1.530054644808743
Kaliningrad Oblast,Russia,54.7293041,21.1489473,30240.0,334.0,27903.0,2003.0,3040.4213155251514,1.1044973544973544
Kalmar,Sweden,57.235,16.1849,15188.0,222.0,0.0,14966.0,6187.919134962476,1.4616802739004475
Kalmykia Republic,Russia,46.2313018,45.3275745,19952.0,315.0,19094.0,543.0,7244.392966199853,1.5787890938251803
Kaluga Oblast,Russia,54.4382773,35.5272854,32345.0,281.0,30156.0,1908.0,3195.969392998016,0.868758695316123
Kamchatka Krai,Russia,57.1914882,160.03838190000005,14120.0,201.0,13212.0,707.0,4474.627404874555,1.4235127478753542
Kanagawa,Japan,35.415312,139.338983,48069.0,785.0,46334.0,950.0,522.5875132144442,1.63306912979259
Kansas,United States,38.48537889685714,-98.08455153209523,2840.5607476635514,45.86915887850467,,,11016.745574138038,2.2892201152696225
Karachay-Cherkess Republic,Russia,43.7368326,41.7267991,19680.0,71.0,18785.0,824.0,4220.413677743108,0.3607723577235772
Karelia Republic,Russia,62.61940309999999,33.4920267,43859.0,388.0,41342.0,2129.0,7045.803586919503,0.8846530928657744
Karnataka,India,14.70518,76.166436,997004.0,12567.0,956170.0,28267.0,1475.6725332086412,1.2604763872562197
Kedah,Malaysia,6.1184,100.3685,8435.0,25.0,8067.0,343.0,385.882245299419,0.2963841138114997
Kelantan,Malaysia,6.1254,102.2381,6250.0,23.0,5638.0,589.0,330.30335059718846,0.368
Kemerovo Oblast,Russia,54.53357809999999,87.342861,33258.0,612.0,32372.0,274.0,1234.1194050785991,1.8401587587948764
Kentucky,United States,37.62214385,-85.199890618,3527.900826446281,50.33057851239669,,,9271.049293694863,1.7187733709666484
